;X;Results.reception.time;MD5.hash.of.participant.s.IP.address;Controller.name;Order.number.of.item;Inner.element.number;Label;Latin.Square.Group;PennElementType;PennElementName;Parameter;Value;EventTime;Sentence;Sound1;Sound2;List;Age;Gender;Language;AmEng;Comments;workerId;text_condition;utt;talker
441;441;1615538151;d4451f3f9a812421cf7d596dbf1c1862;PennController;8;0;experiment;NULL;Scale;judgement;Choice;one;1615537671598;Perhaps she was aware that he was a terrible administrator.;P3-A-1-nc.mp3;P3-A-1-c.mp3;4A;22;male;English;yes;NULL;0083bc21;nc;A1;P3
442;442;1615538151;d4451f3f9a812421cf7d596dbf1c1862;PennController;8;0;experiment;NULL;PennController;7;_Trial_;End;1615537672391;Perhaps she was aware that he was a terrible administrator.;P3-A-1-nc.mp3;P3-A-1-c.mp3;4A;22;male;English;yes;NULL;0083bc21;nc;A1;P3
443;443;1615538151;d4451f3f9a812421cf7d596dbf1c1862;PennController;13;0;experiment;NULL;PennController;12;_Trial_;Start;1615537672393;Samantha only ran one mile.;C2-incor.mp3;C2-cor.mp3;4A;22;male;English;yes;NULL;0083bc21;control;C2;C2
444;444;1615538151;d4451f3f9a812421cf7d596dbf1c1862;PennController;13;0;experiment;NULL;Audio;one;play;0;1615537691758;Samantha only ran one mile.;C2-incor.mp3;C2-cor.mp3;4A;22;male;English;yes;NULL;0083bc21;control;C2;C2
445;445;1615538151;d4451f3f9a812421cf7d596dbf1c1862;PennController;13;0;experiment;NULL;Audio;one;play;0;1615537701590;Samantha only ran one mile.;C2-incor.mp3;C2-cor.mp3;4A;22;male;English;yes;NULL;0083bc21;control;C2;C2
446;446;1615538151;d4451f3f9a812421cf7d596dbf1c1862;PennController;13;0;experiment;NULL;Audio;one;play;0;1615537713695;Samantha only ran one mile.;C2-incor.mp3;C2-cor.mp3;4A;22;male;English;yes;NULL;0083bc21;control;C2;C2
447;447;1615538151;d4451f3f9a812421cf7d596dbf1c1862;PennController;13;0;experiment;NULL;Audio;one;play;0;1615537721366;Samantha only ran one mile.;C2-incor.mp3;C2-cor.mp3;4A;22;male;English;yes;NULL;0083bc21;control;C2;C2
448;448;1615538151;d4451f3f9a812421cf7d596dbf1c1862;PennController;13;0;experiment;NULL;Audio;two;play;0;1615537694051;Samantha only ran one mile.;C2-incor.mp3;C2-cor.mp3;4A;22;male;English;yes;NULL;0083bc21;control;C2;C2
449;449;1615538151;d4451f3f9a812421cf7d596dbf1c1862;PennController;13;0;experiment;NULL;Audio;two;play;0;1615537699207;Samantha only ran one mile.;C2-incor.mp3;C2-cor.mp3;4A;22;male;English;yes;NULL;0083bc21;control;C2;C2
450;450;1615538151;d4451f3f9a812421cf7d596dbf1c1862;PennController;13;0;experiment;NULL;Audio;two;play;0;1615537706359;Samantha only ran one mile.;C2-incor.mp3;C2-cor.mp3;4A;22;male;English;yes;NULL;0083bc21;control;C2;C2
451;451;1615538151;d4451f3f9a812421cf7d596dbf1c1862;PennController;13;0;experiment;NULL;Audio;two;play;0;1615537715676;Samantha only ran one mile.;C2-incor.mp3;C2-cor.mp3;4A;22;male;English;yes;NULL;0083bc21;control;C2;C2
452;452;1615538151;d4451f3f9a812421cf7d596dbf1c1862;PennController;13;0;experiment;NULL;Audio;two;play;0;1615537723673;Samantha only ran one mile.;C2-incor.mp3;C2-cor.mp3;4A;22;male;English;yes;NULL;0083bc21;control;C2;C2
453;453;1615538151;d4451f3f9a812421cf7d596dbf1c1862;PennController;13;0;experiment;NULL;Scale;judgement;Choice;two;1615537724716;Samantha only ran one mile.;C2-incor.mp3;C2-cor.mp3;4A;22;male;English;yes;NULL;0083bc21;control;C2;C2
454;454;1615538151;d4451f3f9a812421cf7d596dbf1c1862;PennController;13;0;experiment;NULL;PennController;12;_Trial_;End;1615537725743;Samantha only ran one mile.;C2-incor.mp3;C2-cor.mp3;4A;22;male;English;yes;NULL;0083bc21;control;C2;C2
455;455;1615538151;d4451f3f9a812421cf7d596dbf1c1862;PennController;5;0;experiment;NULL;PennController;4;_Trial_;Start;1615537725745;Perhaps she noticed that he had bad breath.;P6-N-2-c.mp3;P6-N-2-nc.mp3;4A;22;male;English;yes;NULL;0083bc21;c;N2;P6
456;456;1615538151;d4451f3f9a812421cf7d596dbf1c1862;PennController;5;0;experiment;NULL;Audio;one;play;0;1615537756076;Perhaps she noticed that he had bad breath.;P6-N-2-c.mp3;P6-N-2-nc.mp3;4A;22;male;English;yes;NULL;0083bc21;c;N2;P6
457;457;1615538151;d4451f3f9a812421cf7d596dbf1c1862;PennController;5;0;experiment;NULL;Audio;one;play;0;1615537765765;Perhaps she noticed that he had bad breath.;P6-N-2-c.mp3;P6-N-2-nc.mp3;4A;22;male;English;yes;NULL;0083bc21;c;N2;P6
458;458;1615538151;d4451f3f9a812421cf7d596dbf1c1862;PennController;5;0;experiment;NULL;Audio;two;play;0;1615537758626;Perhaps she noticed that he had bad breath.;P6-N-2-c.mp3;P6-N-2-nc.mp3;4A;22;male;English;yes;NULL;0083bc21;c;N2;P6
459;459;1615538151;d4451f3f9a812421cf7d596dbf1c1862;PennController;5;0;experiment;NULL;Audio;two;play;0;1615537763507;Perhaps she noticed that he had bad breath.;P6-N-2-c.mp3;P6-N-2-nc.mp3;4A;22;male;English;yes;NULL;0083bc21;c;N2;P6
460;460;1615538151;d4451f3f9a812421cf7d596dbf1c1862;PennController;5;0;experiment;NULL;Audio;two;play;0;1615537768171;Perhaps she noticed that he had bad breath.;P6-N-2-c.mp3;P6-N-2-nc.mp3;4A;22;male;English;yes;NULL;0083bc21;c;N2;P6
461;461;1615538151;d4451f3f9a812421cf7d596dbf1c1862;PennController;5;0;experiment;NULL;Scale;judgement;Choice;two;1615537770315;Perhaps she noticed that he had bad breath.;P6-N-2-c.mp3;P6-N-2-nc.mp3;4A;22;male;English;yes;NULL;0083bc21;c;N2;P6
462;462;1615538151;d4451f3f9a812421cf7d596dbf1c1862;PennController;5;0;experiment;NULL;PennController;4;_Trial_;End;1615537773381;Perhaps she noticed that he had bad breath.;P6-N-2-c.mp3;P6-N-2-nc.mp3;4A;22;male;English;yes;NULL;0083bc21;c;N2;P6
463;463;1615538151;d4451f3f9a812421cf7d596dbf1c1862;PennController;10;0;experiment;NULL;PennController;9;_Trial_;Start;1615537773383;Perhaps she knew that he was wrong.;P12-K-3-nc.mp3;P12-K-3-c.mp3;4A;22;male;English;yes;NULL;0083bc21;nc;K3;P1
464;464;1615538151;d4451f3f9a812421cf7d596dbf1c1862;PennController;10;0;experiment;NULL;Audio;one;play;0;1615537794108;Perhaps she knew that he was wrong.;P12-K-3-nc.mp3;P12-K-3-c.mp3;4A;22;male;English;yes;NULL;0083bc21;nc;K3;P1
465;465;1615538151;d4451f3f9a812421cf7d596dbf1c1862;PennController;10;0;experiment;NULL;Audio;one;play;1.184218;1615537803231;Perhaps she knew that he was wrong.;P12-K-3-nc.mp3;P12-K-3-c.mp3;4A;22;male;English;yes;NULL;0083bc21;nc;K3;P1
466;466;1615538151;d4451f3f9a812421cf7d596dbf1c1862;PennController;10;0;experiment;NULL;Audio;one;play;0;1615537805294;Perhaps she knew that he was wrong.;P12-K-3-nc.mp3;P12-K-3-c.mp3;4A;22;male;English;yes;NULL;0083bc21;nc;K3;P1
467;467;1615538151;d4451f3f9a812421cf7d596dbf1c1862;PennController;10;0;experiment;NULL;Audio;one;play;0;1615537809950;Perhaps she knew that he was wrong.;P12-K-3-nc.mp3;P12-K-3-c.mp3;4A;22;male;English;yes;NULL;0083bc21;nc;K3;P1
468;468;1615538151;d4451f3f9a812421cf7d596dbf1c1862;PennController;10;0;experiment;NULL;Audio;two;play;0;1615537807609;Perhaps she knew that he was wrong.;P12-K-3-nc.mp3;P12-K-3-c.mp3;4A;22;male;English;yes;NULL;0083bc21;nc;K3;P1
469;469;1615538151;d4451f3f9a812421cf7d596dbf1c1862;PennController;10;0;experiment;NULL;Audio;two;play;0;1615537811975;Perhaps she knew that he was wrong.;P12-K-3-nc.mp3;P12-K-3-c.mp3;4A;22;male;English;yes;NULL;0083bc21;nc;K3;P1
470;470;1615538151;d4451f3f9a812421cf7d596dbf1c1862;PennController;10;0;experiment;NULL;Scale;judgement;Choice;one;1615537793427;Perhaps she knew that he was wrong.;P12-K-3-nc.mp3;P12-K-3-c.mp3;4A;22;male;English;yes;NULL;0083bc21;nc;K3;P1
471;471;1615538151;d4451f3f9a812421cf7d596dbf1c1862;PennController;10;0;experiment;NULL;PennController;9;_Trial_;End;1615537814314;Perhaps she knew that he was wrong.;P12-K-3-nc.mp3;P12-K-3-c.mp3;4A;22;male;English;yes;NULL;0083bc21;nc;K3;P1
472;472;1615538151;d4451f3f9a812421cf7d596dbf1c1862;PennController;12;0;experiment;NULL;PennController;11;_Trial_;Start;1615537814317;She even ate the peas.;C1-cor.mp3;C1-incor.mp3;4A;22;male;English;yes;NULL;0083bc21;control;C1;C1
473;473;1615538151;d4451f3f9a812421cf7d596dbf1c1862;PennController;12;0;experiment;NULL;Audio;one;play;0;1615537856544;She even ate the peas.;C1-cor.mp3;C1-incor.mp3;4A;22;male;English;yes;NULL;0083bc21;control;C1;C1
474;474;1615538151;d4451f3f9a812421cf7d596dbf1c1862;PennController;12;0;experiment;NULL;Audio;one;play;0;1615537919802;She even ate the peas.;C1-cor.mp3;C1-incor.mp3;4A;22;male;English;yes;NULL;0083bc21;control;C1;C1
475;475;1615538151;d4451f3f9a812421cf7d596dbf1c1862;PennController;12;0;experiment;NULL;Audio;one;play;0;1615537926132;She even ate the peas.;C1-cor.mp3;C1-incor.mp3;4A;22;male;English;yes;NULL;0083bc21;control;C1;C1
476;476;1615538151;d4451f3f9a812421cf7d596dbf1c1862;PennController;12;0;experiment;NULL;Audio;one;play;0;1615537930315;She even ate the peas.;C1-cor.mp3;C1-incor.mp3;4A;22;male;English;yes;NULL;0083bc21;control;C1;C1
477;477;1615538151;d4451f3f9a812421cf7d596dbf1c1862;PennController;12;0;experiment;NULL;Audio;one;play;0;1615537942602;She even ate the peas.;C1-cor.mp3;C1-incor.mp3;4A;22;male;English;yes;NULL;0083bc21;control;C1;C1
478;478;1615538151;d4451f3f9a812421cf7d596dbf1c1862;PennController;12;0;experiment;NULL;Audio;two;play;0;1615537859067;She even ate the peas.;C1-cor.mp3;C1-incor.mp3;4A;22;male;English;yes;NULL;0083bc21;control;C1;C1
479;479;1615538151;d4451f3f9a812421cf7d596dbf1c1862;PennController;12;0;experiment;NULL;Audio;two;play;0;1615537927996;She even ate the peas.;C1-cor.mp3;C1-incor.mp3;4A;22;male;English;yes;NULL;0083bc21;control;C1;C1
480;480;1615538151;d4451f3f9a812421cf7d596dbf1c1862;PennController;12;0;experiment;NULL;Audio;two;play;0;1615537972842;She even ate the peas.;C1-cor.mp3;C1-incor.mp3;4A;22;male;English;yes;NULL;0083bc21;control;C1;C1
481;481;1615538151;d4451f3f9a812421cf7d596dbf1c1862;PennController;12;0;experiment;NULL;Scale;judgement;Choice;two;1615537937594;She even ate the peas.;C1-cor.mp3;C1-incor.mp3;4A;22;male;English;yes;NULL;0083bc21;control;C1;C1
482;482;1615538151;d4451f3f9a812421cf7d596dbf1c1862;PennController;12;0;experiment;NULL;PennController;11;_Trial_;End;1615537977042;She even ate the peas.;C1-cor.mp3;C1-incor.mp3;4A;22;male;English;yes;NULL;0083bc21;control;C1;C1
483;483;1615538151;d4451f3f9a812421cf7d596dbf1c1862;PennController;14;0;experiment;NULL;PennController;13;_Trial_;Start;1615537977044;Damon made mac and cheese.;C3-cor.mp3;C3-incor.mp3;4A;22;male;English;yes;NULL;0083bc21;control;C3;C3
484;484;1615538151;d4451f3f9a812421cf7d596dbf1c1862;PennController;14;0;experiment;NULL;Audio;one;play;0;1615538106581;Damon made mac and cheese.;C3-cor.mp3;C3-incor.mp3;4A;22;male;English;yes;NULL;0083bc21;control;C3;C3
485;485;1615538151;d4451f3f9a812421cf7d596dbf1c1862;PennController;14;0;experiment;NULL;Scale;judgement;Choice;two;1615538111672;Damon made mac and cheese.;C3-cor.mp3;C3-incor.mp3;4A;22;male;English;yes;NULL;0083bc21;control;C3;C3
486;486;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;14;0;experiment;NULL;PennController;13;_Trial_;Start;1615537479156;Damon made mac and cheese.;C3-cor.mp3;C3-incor.mp3;1A;28;male;English;yes;NULL;72c0377e;control;C3;C3
487;487;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;14;0;experiment;NULL;Audio;one;play;0;1615537492756;Damon made mac and cheese.;C3-cor.mp3;C3-incor.mp3;1A;28;male;English;yes;NULL;72c0377e;control;C3;C3
488;488;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;14;0;experiment;NULL;Audio;one;play;0;1615537504095;Damon made mac and cheese.;C3-cor.mp3;C3-incor.mp3;1A;28;male;English;yes;NULL;72c0377e;control;C3;C3
489;489;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;14;0;experiment;NULL;Audio;two;play;0;1615537495493;Damon made mac and cheese.;C3-cor.mp3;C3-incor.mp3;1A;28;male;English;yes;NULL;72c0377e;control;C3;C3
490;490;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;14;0;experiment;NULL;Audio;two;play;0;1615537507441;Damon made mac and cheese.;C3-cor.mp3;C3-incor.mp3;1A;28;male;English;yes;NULL;72c0377e;control;C3;C3
491;491;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;14;0;experiment;NULL;Scale;judgement;Choice;one;1615537510576;Damon made mac and cheese.;C3-cor.mp3;C3-incor.mp3;1A;28;male;English;yes;NULL;72c0377e;control;C3;C3
492;492;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;14;0;experiment;NULL;PennController;13;_Trial_;End;1615537511487;Damon made mac and cheese.;C3-cor.mp3;C3-incor.mp3;1A;28;male;English;yes;NULL;72c0377e;control;C3;C3
493;493;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;13;0;experiment;NULL;PennController;12;_Trial_;Start;1615537511491;Samantha only ran one mile.;C2-incor.mp3;C2-cor.mp3;1A;28;male;English;yes;NULL;72c0377e;control;C2;C2
494;494;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;13;0;experiment;NULL;Audio;one;play;0;1615537524696;Samantha only ran one mile.;C2-incor.mp3;C2-cor.mp3;1A;28;male;English;yes;NULL;72c0377e;control;C2;C2
495;495;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;13;0;experiment;NULL;Audio;one;play;0;1615537531581;Samantha only ran one mile.;C2-incor.mp3;C2-cor.mp3;1A;28;male;English;yes;NULL;72c0377e;control;C2;C2
496;496;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;13;0;experiment;NULL;Audio;two;play;0;1615537527071;Samantha only ran one mile.;C2-incor.mp3;C2-cor.mp3;1A;28;male;English;yes;NULL;72c0377e;control;C2;C2
497;497;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;13;0;experiment;NULL;Scale;judgement;Choice;one;1615537534705;Samantha only ran one mile.;C2-incor.mp3;C2-cor.mp3;1A;28;male;English;yes;NULL;72c0377e;control;C2;C2
498;498;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;13;0;experiment;NULL;PennController;12;_Trial_;End;1615537538387;Samantha only ran one mile.;C2-incor.mp3;C2-cor.mp3;1A;28;male;English;yes;NULL;72c0377e;control;C2;C2
499;499;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;5;0;experiment;NULL;PennController;4;_Trial_;Start;1615537538391;Perhaps she noticed that he had bad breath.;P1-N-2-c.mp3;P1-N-2-nc.mp3;1A;28;male;English;yes;NULL;72c0377e;c;N2;P1
500;500;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;5;0;experiment;NULL;Audio;one;play;0;1615537553877;Perhaps she noticed that he had bad breath.;P1-N-2-c.mp3;P1-N-2-nc.mp3;1A;28;male;English;yes;NULL;72c0377e;c;N2;P1
501;501;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;5;0;experiment;NULL;Audio;one;play;0;1615537564461;Perhaps she noticed that he had bad breath.;P1-N-2-c.mp3;P1-N-2-nc.mp3;1A;28;male;English;yes;NULL;72c0377e;c;N2;P1
502;502;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;5;0;experiment;NULL;Audio;one;play;0;1615537576768;Perhaps she noticed that he had bad breath.;P1-N-2-c.mp3;P1-N-2-nc.mp3;1A;28;male;English;yes;NULL;72c0377e;c;N2;P1
503;503;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;5;0;experiment;NULL;Audio;two;play;0;1615537557290;Perhaps she noticed that he had bad breath.;P1-N-2-c.mp3;P1-N-2-nc.mp3;1A;28;male;English;yes;NULL;72c0377e;c;N2;P1
504;504;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;5;0;experiment;NULL;Audio;two;play;0;1615537568164;Perhaps she noticed that he had bad breath.;P1-N-2-c.mp3;P1-N-2-nc.mp3;1A;28;male;English;yes;NULL;72c0377e;c;N2;P1
505;505;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;5;0;experiment;NULL;Audio;two;play;0;1615537574579;Perhaps she noticed that he had bad breath.;P1-N-2-c.mp3;P1-N-2-nc.mp3;1A;28;male;English;yes;NULL;72c0377e;c;N2;P1
506;506;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;5;0;experiment;NULL;Scale;judgement;Choice;two;1615537582359;Perhaps she noticed that he had bad breath.;P1-N-2-c.mp3;P1-N-2-nc.mp3;1A;28;male;English;yes;NULL;72c0377e;c;N2;P1
507;507;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;5;0;experiment;NULL;PennController;4;_Trial_;End;1615537583226;Perhaps she noticed that he had bad breath.;P1-N-2-c.mp3;P1-N-2-nc.mp3;1A;28;male;English;yes;NULL;72c0377e;c;N2;P1
508;508;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;11;0;experiment;NULL;PennController;10;_Trial_;Start;1615537583232;Perhaps he discovered that he’s a father.;P12-D-2-nc.mp3;P12-D-2-c.mp3;1A;28;male;English;yes;NULL;72c0377e;c;D2;P1
509;509;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;11;0;experiment;NULL;Audio;one;play;0;1615537596004;Perhaps he discovered that he’s a father.;P12-D-2-nc.mp3;P12-D-2-c.mp3;1A;28;male;English;yes;NULL;72c0377e;c;D2;P1
510;510;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;11;0;experiment;NULL;Audio;one;play;0;1615537601811;Perhaps he discovered that he’s a father.;P12-D-2-nc.mp3;P12-D-2-c.mp3;1A;28;male;English;yes;NULL;72c0377e;c;D2;P1
511;511;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;11;0;experiment;NULL;Audio;two;play;0;1615537598826;Perhaps he discovered that he’s a father.;P12-D-2-nc.mp3;P12-D-2-c.mp3;1A;28;male;English;yes;NULL;72c0377e;c;D2;P1
512;512;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;11;0;experiment;NULL;Audio;two;play;0;1615537604441;Perhaps he discovered that he’s a father.;P12-D-2-nc.mp3;P12-D-2-c.mp3;1A;28;male;English;yes;NULL;72c0377e;c;D2;P1
513;513;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;11;0;experiment;NULL;Scale;judgement;Choice;one;1615537607870;Perhaps he discovered that he’s a father.;P12-D-2-nc.mp3;P12-D-2-c.mp3;1A;28;male;English;yes;NULL;72c0377e;c;D2;P1
514;514;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;11;0;experiment;NULL;PennController;10;_Trial_;End;1615537609244;Perhaps he discovered that he’s a father.;P12-D-2-nc.mp3;P12-D-2-c.mp3;1A;28;male;English;yes;NULL;72c0377e;c;D2;P1
515;515;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;6;0;experiment;NULL;PennController;5;_Trial_;Start;1615537609249;Perhaps he knew that she was married.;P14-K-2-c.mp3;P14-K-2-nc.mp3;1A;28;male;English;yes;NULL;72c0377e;nc;K2;P1
516;516;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;6;0;experiment;NULL;Audio;one;play;0;1615537633159;Perhaps he knew that she was married.;P14-K-2-c.mp3;P14-K-2-nc.mp3;1A;28;male;English;yes;NULL;72c0377e;nc;K2;P1
517;517;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;6;0;experiment;NULL;Audio;one;play;0;1615537639049;Perhaps he knew that she was married.;P14-K-2-c.mp3;P14-K-2-nc.mp3;1A;28;male;English;yes;NULL;72c0377e;nc;K2;P1
518;518;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;6;0;experiment;NULL;Audio;two;play;0;1615537636353;Perhaps he knew that she was married.;P14-K-2-c.mp3;P14-K-2-nc.mp3;1A;28;male;English;yes;NULL;72c0377e;nc;K2;P1
519;519;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;6;0;experiment;NULL;Audio;two;play;0;1615537642111;Perhaps he knew that she was married.;P14-K-2-c.mp3;P14-K-2-nc.mp3;1A;28;male;English;yes;NULL;72c0377e;nc;K2;P1
520;520;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;6;0;experiment;NULL;Scale;judgement;Choice;one;1615537647845;Perhaps he knew that she was married.;P14-K-2-c.mp3;P14-K-2-nc.mp3;1A;28;male;English;yes;NULL;72c0377e;nc;K2;P1
521;521;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;6;0;experiment;NULL;PennController;5;_Trial_;End;1615537648834;Perhaps he knew that she was married.;P14-K-2-c.mp3;P14-K-2-nc.mp3;1A;28;male;English;yes;NULL;72c0377e;nc;K2;P1
522;522;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;12;0;experiment;NULL;PennController;11;_Trial_;Start;1615537648839;She even ate the peas.;C1-cor.mp3;C1-incor.mp3;1A;28;male;English;yes;NULL;72c0377e;control;C1;C1
523;523;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;12;0;experiment;NULL;Audio;one;play;0;1615537660217;She even ate the peas.;C1-cor.mp3;C1-incor.mp3;1A;28;male;English;yes;NULL;72c0377e;control;C1;C1
524;524;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;12;0;experiment;NULL;Audio;one;play;0;1615537669969;She even ate the peas.;C1-cor.mp3;C1-incor.mp3;1A;28;male;English;yes;NULL;72c0377e;control;C1;C1
525;525;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;12;0;experiment;NULL;Audio;two;play;0;1615537662469;She even ate the peas.;C1-cor.mp3;C1-incor.mp3;1A;28;male;English;yes;NULL;72c0377e;control;C1;C1
526;526;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;12;0;experiment;NULL;Audio;two;play;0;1615537673045;She even ate the peas.;C1-cor.mp3;C1-incor.mp3;1A;28;male;English;yes;NULL;72c0377e;control;C1;C1
527;527;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;12;0;experiment;NULL;Scale;judgement;Choice;two;1615537682512;She even ate the peas.;C1-cor.mp3;C1-incor.mp3;1A;28;male;English;yes;NULL;72c0377e;control;C1;C1
528;528;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;12;0;experiment;NULL;PennController;11;_Trial_;End;1615537683413;She even ate the peas.;C1-cor.mp3;C1-incor.mp3;1A;28;male;English;yes;NULL;72c0377e;control;C1;C1
529;529;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;10;0;experiment;NULL;PennController;9;_Trial_;Start;1615537683417;Perhaps she knew that he was wrong.;P4-K-3-nc.mp3;P4-K-3-c.mp3;1A;28;male;English;yes;NULL;72c0377e;nc;K3;P4
530;530;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;10;0;experiment;NULL;Audio;one;play;0;1615537701761;Perhaps she knew that he was wrong.;P4-K-3-nc.mp3;P4-K-3-c.mp3;1A;28;male;English;yes;NULL;72c0377e;nc;K3;P4
531;531;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;10;0;experiment;NULL;Audio;one;play;0;1615537706549;Perhaps she knew that he was wrong.;P4-K-3-nc.mp3;P4-K-3-c.mp3;1A;28;male;English;yes;NULL;72c0377e;nc;K3;P4
532;532;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;10;0;experiment;NULL;Audio;one;play;0;1615537710264;Perhaps she knew that he was wrong.;P4-K-3-nc.mp3;P4-K-3-c.mp3;1A;28;male;English;yes;NULL;72c0377e;nc;K3;P4
533;533;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;10;0;experiment;NULL;Audio;one;play;0;1615537716965;Perhaps she knew that he was wrong.;P4-K-3-nc.mp3;P4-K-3-c.mp3;1A;28;male;English;yes;NULL;72c0377e;nc;K3;P4
534;534;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;10;0;experiment;NULL;Audio;two;play;0;1615537704231;Perhaps she knew that he was wrong.;P4-K-3-nc.mp3;P4-K-3-c.mp3;1A;28;male;English;yes;NULL;72c0377e;nc;K3;P4
535;535;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;10;0;experiment;NULL;Audio;two;play;0;1615537708466;Perhaps she knew that he was wrong.;P4-K-3-nc.mp3;P4-K-3-c.mp3;1A;28;male;English;yes;NULL;72c0377e;nc;K3;P4
536;536;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;10;0;experiment;NULL;Audio;two;play;0;1615537715225;Perhaps she knew that he was wrong.;P4-K-3-nc.mp3;P4-K-3-c.mp3;1A;28;male;English;yes;NULL;72c0377e;nc;K3;P4
537;537;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;10;0;experiment;NULL;Scale;judgement;Choice;two;1615537721385;Perhaps she knew that he was wrong.;P4-K-3-nc.mp3;P4-K-3-c.mp3;1A;28;male;English;yes;NULL;72c0377e;nc;K3;P4
538;538;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;10;0;experiment;NULL;PennController;9;_Trial_;End;1615537722232;Perhaps she knew that he was wrong.;P4-K-3-nc.mp3;P4-K-3-c.mp3;1A;28;male;English;yes;NULL;72c0377e;nc;K3;P4
539;539;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;8;0;experiment;NULL;PennController;7;_Trial_;Start;1615537722237;Perhaps she was aware that he was a terrible administrator.;P6-A-1-nc.mp3;P6-A-1-c.mp3;1A;28;male;English;yes;NULL;72c0377e;nc;A1;P6
540;540;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;8;0;experiment;NULL;Audio;one;play;0;1615537738015;Perhaps she was aware that he was a terrible administrator.;P6-A-1-nc.mp3;P6-A-1-c.mp3;1A;28;male;English;yes;NULL;72c0377e;nc;A1;P6
541;541;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;8;0;experiment;NULL;Audio;one;play;0;1615537745655;Perhaps she was aware that he was a terrible administrator.;P6-A-1-nc.mp3;P6-A-1-c.mp3;1A;28;male;English;yes;NULL;72c0377e;nc;A1;P6
542;542;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;8;0;experiment;NULL;Audio;two;play;0;1615537741276;Perhaps she was aware that he was a terrible administrator.;P6-A-1-nc.mp3;P6-A-1-c.mp3;1A;28;male;English;yes;NULL;72c0377e;nc;A1;P6
543;543;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;8;0;experiment;NULL;Audio;two;play;0;1615537749438;Perhaps she was aware that he was a terrible administrator.;P6-A-1-nc.mp3;P6-A-1-c.mp3;1A;28;male;English;yes;NULL;72c0377e;nc;A1;P6
544;544;1615537816;a19d325ad9ce9382d92fa2257d020112;PennController;8;0;experiment;NULL;Scale;judgement;Choice;two;1615537751931;Perhaps she was aware that he was a terrible administrator.;P6-A-1-nc.mp3;P6-A-1-c.mp3;1A;28;male;English;yes;NULL;72c0377e;nc;A1;P6
