IbexReceptionTime,IbexIP,IbexController,IbexItem,IbexElement,Label,IbexGroup,ElementType,ElementName,Parameter,Value,EventTime,Sentence,File,List,Age,Gender,Language,AmEng,Prolific-ID,Comments
1611318533,eea10e72be5b19204eb501d2708705c6,PennController,9,0,experiment,NULL,PennController,7,_Trial_,Start,1611318382715,Lucas (about Selena and Scott):,P12-A-1-nc.wav,5,46,male,English,yes,5fbb19f73dc031be050019d4,NULL
1611318533,eea10e72be5b19204eb501d2708705c6,PennController,9,0,experiment,NULL,Audio,P12-A-1-nc.wav,play,0,1611318385575,Lucas (about Selena and Scott):,P12-A-1-nc.wav,5,46,male,English,yes,5fbb19f73dc031be050019d4,NULL
1611318533,eea10e72be5b19204eb501d2708705c6,PennController,9,0,experiment,NULL,Scale,score,Choice,<span style='visibility: hidden;'>6</span>,1611318416245,Lucas (about Selena and Scott):,P12-A-1-nc.wav,5,46,male,English,yes,5fbb19f73dc031be050019d4,NULL
1611318533,eea10e72be5b19204eb501d2708705c6,PennController,9,0,experiment,NULL,PennController,7,_Trial_,End,1611318417589,Lucas (about Selena and Scott):,P12-A-1-nc.wav,5,46,male,English,yes,5fbb19f73dc031be050019d4,NULL
1611318533,eea10e72be5b19204eb501d2708705c6,PennController,10,0,experiment,NULL,PennController,8,_Trial_,Start,1611318417591,Amelia (about Cassie and Bruce):,P3-A-2-c.wav,5,46,male,English,yes,5fbb19f73dc031be050019d4,NULL
1611318533,eea10e72be5b19204eb501d2708705c6,PennController,10,0,experiment,NULL,Audio,P3-A-2-c.wav,play,0,1611318420405,Amelia (about Cassie and Bruce):,P3-A-2-c.wav,5,46,male,English,yes,5fbb19f73dc031be050019d4,NULL
1611318533,eea10e72be5b19204eb501d2708705c6,PennController,10,0,experiment,NULL,Scale,score,Choice,<span style='visibility: hidden;'>6</span>,1611318430630,Amelia (about Cassie and Bruce):,P3-A-2-c.wav,5,46,male,English,yes,5fbb19f73dc031be050019d4,NULL
1611318533,eea10e72be5b19204eb501d2708705c6,PennController,10,0,experiment,NULL,PennController,8,_Trial_,End,1611318434566,Amelia (about Cassie and Bruce):,P3-A-2-c.wav,5,46,male,English,yes,5fbb19f73dc031be050019d4,NULL
1611318533,eea10e72be5b19204eb501d2708705c6,PennController,6,0,experiment,NULL,PennController,4,_Trial_,Start,1611318434568,Alexandra (about Sue and Mark):,P4-N-2-c.wav,5,46,male,English,yes,5fbb19f73dc031be050019d4,NULL
1611318533,eea10e72be5b19204eb501d2708705c6,PennController,6,0,experiment,NULL,Audio,P4-N-2-c.wav,play,0,1611318438598,Alexandra (about Sue and Mark):,P4-N-2-c.wav,5,46,male,English,yes,5fbb19f73dc031be050019d4,NULL
1611318533,eea10e72be5b19204eb501d2708705c6,PennController,6,0,experiment,NULL,Scale,score,Choice,<span style='visibility: hidden;'>6</span>,1611318446212,Alexandra (about Sue and Mark):,P4-N-2-c.wav,5,46,male,English,yes,5fbb19f73dc031be050019d4,NULL
1611318533,eea10e72be5b19204eb501d2708705c6,PennController,6,0,experiment,NULL,PennController,4,_Trial_,End,1611318448790,Alexandra (about Sue and Mark):,P4-N-2-c.wav,5,46,male,English,yes,5fbb19f73dc031be050019d4,NULL
1611318533,eea10e72be5b19204eb501d2708705c6,PennController,13,0,experiment,NULL,PennController,11,_Trial_,Start,1611318448793,Julie (about herself):,F1.wav,5,46,male,English,yes,5fbb19f73dc031be050019d4,NULL
1611318533,eea10e72be5b19204eb501d2708705c6,PennController,13,0,experiment,NULL,Audio,F1.wav,play,0,1611318453675,Julie (about herself):,F1.wav,5,46,male,English,yes,5fbb19f73dc031be050019d4,NULL
1611318533,eea10e72be5b19204eb501d2708705c6,PennController,13,0,experiment,NULL,Scale,score,Choice,Yes%2C certain,1611318459077,Julie (about herself):,F1.wav,5,46,male,English,yes,5fbb19f73dc031be050019d4,NULL
1611318533,eea10e72be5b19204eb501d2708705c6,PennController,13,0,experiment,NULL,PennController,11,_Trial_,End,1611318460705,Julie (about herself):,F1.wav,5,46,male,English,yes,5fbb19f73dc031be050019d4,NULL
1611318533,eea10e72be5b19204eb501d2708705c6,PennController,14,0,experiment,NULL,PennController,12,_Trial_,Start,1611318460707,June (about herself):,F2.wav,5,46,male,English,yes,5fbb19f73dc031be050019d4,NULL
1611318533,eea10e72be5b19204eb501d2708705c6,PennController,14,0,experiment,NULL,Audio,F2.wav,play,0,1611318465487,June (about herself):,F2.wav,5,46,male,English,yes,5fbb19f73dc031be050019d4,NULL
1611318533,eea10e72be5b19204eb501d2708705c6,PennController,14,0,experiment,NULL,Scale,score,Choice,Yes%2C certain,1611318468382,June (about herself):,F2.wav,5,46,male,English,yes,5fbb19f73dc031be050019d4,NULL
1611318533,eea10e72be5b19204eb501d2708705c6,PennController,14,0,experiment,NULL,PennController,12,_Trial_,End,1611318470002,June (about herself):,F2.wav,5,46,male,English,yes,5fbb19f73dc031be050019d4,NULL
1611318533,eea10e72be5b19204eb501d2708705c6,PennController,7,0,experiment,NULL,PennController,5,_Trial_,Start,1611318470005,Liam (about Greg and Tara):,P8-K-2-nc.wav,5,46,male,English,yes,5fbb19f73dc031be050019d4,NULL
1611318533,eea10e72be5b19204eb501d2708705c6,PennController,7,0,experiment,NULL,Audio,P8-K-2-nc.wav,play,0,1611318473466,Liam (about Greg and Tara):,P8-K-2-nc.wav,5,46,male,English,yes,5fbb19f73dc031be050019d4,NULL
1611318533,eea10e72be5b19204eb501d2708705c6,PennController,7,0,experiment,NULL,Scale,score,Choice,Yes%2C certain,1611318479846,Liam (about Greg and Tara):,P8-K-2-nc.wav,5,46,male,English,yes,5fbb19f73dc031be050019d4,NULL
1611318533,eea10e72be5b19204eb501d2708705c6,PennController,7,0,experiment,NULL,PennController,5,_Trial_,End,1611318482052,Liam (about Greg and Tara):,P8-K-2-nc.wav,5,46,male,English,yes,5fbb19f73dc031be050019d4,NULL
1611318533,eea10e72be5b19204eb501d2708705c6,PennController,12,0,experiment,NULL,PennController,10,_Trial_,Start,1611318482054,Jesse (about Simon):,P5-D-2-c.wav,5,46,male,English,yes,5fbb19f73dc031be050019d4,NULL
1611318533,eea10e72be5b19204eb501d2708705c6,PennController,12,0,experiment,NULL,Audio,P5-D-2-c.wav,play,0,1611318485129,Jesse (about Simon):,P5-D-2-c.wav,5,46,male,English,yes,5fbb19f73dc031be050019d4,NULL
1611318533,eea10e72be5b19204eb501d2708705c6,PennController,12,0,experiment,NULL,Scale,score,Choice,<span style='visibility: hidden;'>4</span>,1611318493171,Jesse (about Simon):,P5-D-2-c.wav,5,46,male,English,yes,5fbb19f73dc031be050019d4,NULL
1611318533,eea10e72be5b19204eb501d2708705c6,PennController,12,0,experiment,NULL,PennController,10,_Trial_,End,1611318494805,Jesse (about Simon):,P5-D-2-c.wav,5,46,male,English,yes,5fbb19f73dc031be050019d4,NULL
1611318533,eea10e72be5b19204eb501d2708705c6,PennController,8,0,experiment,NULL,PennController,6,_Trial_,Start,1611318494807,Patty (about Joan and Lenny):,P14-A-3-c.wav,5,46,male,English,yes,5fbb19f73dc031be050019d4,NULL
1611318533,eea10e72be5b19204eb501d2708705c6,PennController,8,0,experiment,NULL,Audio,P14-A-3-c.wav,play,0,1611318497885,Patty (about Joan and Lenny):,P14-A-3-c.wav,5,46,male,English,yes,5fbb19f73dc031be050019d4,NULL
1611318533,eea10e72be5b19204eb501d2708705c6,PennController,8,0,experiment,NULL,Audio,P14-A-3-c.wav,play,0,1611318503225,Patty (about Joan and Lenny):,P14-A-3-c.wav,5,46,male,English,yes,5fbb19f73dc031be050019d4,NULL
1611318533,eea10e72be5b19204eb501d2708705c6,PennController,8,0,experiment,NULL,Scale,score,Choice,<span style='visibility: hidden;'>6</span>,1611318512295,Patty (about Joan and Lenny):,P14-A-3-c.wav,5,46,male,English,yes,5fbb19f73dc031be050019d4,NULL
1611318533,eea10e72be5b19204eb501d2708705c6,PennController,8,0,experiment,NULL,PennController,6,_Trial_,End,1611318516243,Patty (about Joan and Lenny):,P14-A-3-c.wav,5,46,male,English,yes,5fbb19f73dc031be050019d4,NULL
1611318533,eea10e72be5b19204eb501d2708705c6,PennController,11,0,experiment,NULL,PennController,9,_Trial_,Start,1611318516245,Amy (about Maggie and Toby):,P1-K-3-nc.wav,5,46,male,English,yes,5fbb19f73dc031be050019d4,NULL
1611318533,eea10e72be5b19204eb501d2708705c6,PennController,11,0,experiment,NULL,Audio,P1-K-3-nc.wav,play,0,1611318520356,Amy (about Maggie and Toby):,P1-K-3-nc.wav,5,46,male,English,yes,5fbb19f73dc031be050019d4,NULL
