"IbexReceptionTime","IbexItem","ElementType","ElementName","Parameter","Value","EventTime","Sentence","File","List","Age","Gender","Language","AmEng","Comments","workerId"
1611318533,9,"PennController","7","_Trial_","Start",1611318382715,"Lucas (about Selena and Scott):","P12-A-1-nc.wav",5,46,"male","English","yes","NULL","e445cec7"
1611318533,9,"Audio","P12-A-1-nc.wav","play","0",1611318385575,"Lucas (about Selena and Scott):","P12-A-1-nc.wav",5,46,"male","English","yes","NULL","e445cec7"
1611318533,9,"Scale","score","Choice","<span style='visibility: hidden;'>6</span>",1611318416245,"Lucas (about Selena and Scott):","P12-A-1-nc.wav",5,46,"male","English","yes","NULL","e445cec7"
1611318533,9,"PennController","7","_Trial_","End",1611318417589,"Lucas (about Selena and Scott):","P12-A-1-nc.wav",5,46,"male","English","yes","NULL","e445cec7"
1611318533,10,"PennController","8","_Trial_","Start",1611318417591,"Amelia (about Cassie and Bruce):","P3-A-2-c.wav",5,46,"male","English","yes","NULL","e445cec7"
1611318533,10,"Audio","P3-A-2-c.wav","play","0",1611318420405,"Amelia (about Cassie and Bruce):","P3-A-2-c.wav",5,46,"male","English","yes","NULL","e445cec7"
1611318533,10,"Scale","score","Choice","<span style='visibility: hidden;'>6</span>",1611318430630,"Amelia (about Cassie and Bruce):","P3-A-2-c.wav",5,46,"male","English","yes","NULL","e445cec7"
1611318533,10,"PennController","8","_Trial_","End",1611318434566,"Amelia (about Cassie and Bruce):","P3-A-2-c.wav",5,46,"male","English","yes","NULL","e445cec7"
1611318533,6,"PennController","4","_Trial_","Start",1611318434568,"Alexandra (about Sue and Mark):","P4-N-2-c.wav",5,46,"male","English","yes","NULL","e445cec7"
1611318533,6,"Audio","P4-N-2-c.wav","play","0",1611318438598,"Alexandra (about Sue and Mark):","P4-N-2-c.wav",5,46,"male","English","yes","NULL","e445cec7"
1611318533,6,"Scale","score","Choice","<span style='visibility: hidden;'>6</span>",1611318446212,"Alexandra (about Sue and Mark):","P4-N-2-c.wav",5,46,"male","English","yes","NULL","e445cec7"
1611318533,6,"PennController","4","_Trial_","End",1611318448790,"Alexandra (about Sue and Mark):","P4-N-2-c.wav",5,46,"male","English","yes","NULL","e445cec7"
1611318533,13,"PennController","11","_Trial_","Start",1611318448793,"Julie (about herself):","F1.wav",5,46,"male","English","yes","NULL","e445cec7"
1611318533,13,"Audio","F1.wav","play","0",1611318453675,"Julie (about herself):","F1.wav",5,46,"male","English","yes","NULL","e445cec7"
1611318533,13,"Scale","score","Choice","Yes%2C certain",1611318459077,"Julie (about herself):","F1.wav",5,46,"male","English","yes","NULL","e445cec7"
1611318533,13,"PennController","11","_Trial_","End",1611318460705,"Julie (about herself):","F1.wav",5,46,"male","English","yes","NULL","e445cec7"
1611318533,14,"PennController","12","_Trial_","Start",1611318460707,"June (about herself):","F2.wav",5,46,"male","English","yes","NULL","e445cec7"
1611318533,14,"Audio","F2.wav","play","0",1611318465487,"June (about herself):","F2.wav",5,46,"male","English","yes","NULL","e445cec7"
1611318533,14,"Scale","score","Choice","Yes%2C certain",1611318468382,"June (about herself):","F2.wav",5,46,"male","English","yes","NULL","e445cec7"
1611318533,14,"PennController","12","_Trial_","End",1611318470002,"June (about herself):","F2.wav",5,46,"male","English","yes","NULL","e445cec7"
1611318533,7,"PennController","5","_Trial_","Start",1611318470005,"Liam (about Greg and Tara):","P8-K-2-nc.wav",5,46,"male","English","yes","NULL","e445cec7"
1611318533,7,"Audio","P8-K-2-nc.wav","play","0",1611318473466,"Liam (about Greg and Tara):","P8-K-2-nc.wav",5,46,"male","English","yes","NULL","e445cec7"
1611318533,7,"Scale","score","Choice","Yes%2C certain",1611318479846,"Liam (about Greg and Tara):","P8-K-2-nc.wav",5,46,"male","English","yes","NULL","e445cec7"
1611318533,7,"PennController","5","_Trial_","End",1611318482052,"Liam (about Greg and Tara):","P8-K-2-nc.wav",5,46,"male","English","yes","NULL","e445cec7"
1611318533,12,"PennController","10","_Trial_","Start",1611318482054,"Jesse (about Simon):","P5-D-2-c.wav",5,46,"male","English","yes","NULL","e445cec7"
